"AVERAGE_HEARTRATE_IN_BPM","AVERAGE_POWER_IN_WATT","AVG_CADENCE_IN_RPM","INTERVAL_ID","DATE","AVERAGE_TOTAL_HEMOGLOBIN_CONCENTRATION","INTERVAL_DESCRIPTION","INTERVAL_TYPE","TIME_TIMER","TIME_ELAPSED","AVERAGE_SATURATED_HEMOGLOBIN_IN_PERC","TIMESTAMP_END","TIMESTAMP_START"
109.000000,186.00,160,10,2023-03-08,34.48,"00 I Warm Up",Warm Up,2702.0,2704.0,37.7,2023-03-08 08:41:24.000,2023-03-08 07:56:20.000
137.000000,323.00,164,1,2023-03-08,13.22,"01 I Interval 1",Interval,601.0,601.0,16.4,2023-03-08 08:51:25.000,2023-03-08 08:41:24.000
112.000000,166.00,158,11,2023-03-08,13.09,"02 I Pause 1",Pause,480.0,480.0,39.0,2023-03-08 08:59:25.000,2023-03-08 08:51:25.000
139.000000,323.00,166,2,2023-03-08,13.23,"03 I Interval 2",Interval,600.0,600.0,15.8,2023-03-08 09:09:25.000,2023-03-08 08:59:25.000
115.000000,173.00,156,12,2023-03-08,13.15,"04 I Pause 2",Pause,480.0,480.0,39.5,2023-03-08 09:17:25.000,2023-03-08 09:09:25.000
140.000000,322.00,164,3,2023-03-08,13.24,"05 I Interval 3",Interval,600.0,600.0,13.4,2023-03-08 09:27:25.000,2023-03-08 09:17:25.000
112.000000,161.00,158,13,2023-03-08,13.18,"06 I Pause 3",Pause,479.0,479.0,37.9,2023-03-08 09:35:24.000,2023-03-08 09:27:25.000
140.000000,324.00,158,4,2023-03-08,13.26,"07 I Interval 4",Interval,601.0,601.0,13.3,2023-03-08 09:45:25.000,2023-03-08 09:35:24.000
114.000000,171.00,152,14,2023-03-08,13.17,"08 I Pause 4",Pause,479.0,479.0,33.1,2023-03-08 09:53:24.000,2023-03-08 09:45:25.000
140.000000,322.00,162,5,2023-03-08,13.29,"09 I Interval 5",Interval,600.0,600.0,19.0,2023-03-08 10:03:24.000,2023-03-08 09:53:24.000
111.000000,148.00,144,15,2023-03-08,13.12,"10 I Pause 5",Pause,481.0,481.0,32.2,2023-03-08 10:11:25.000,2023-03-08 10:03:24.000
139.000000,321.00,160,6,2023-03-08,12.89,"11 I Interval 6",Interval,599.0,599.0,8.0,2023-03-08 10:21:24.000,2023-03-08 10:11:25.000
108.000000,131.00,152,16,2023-03-08,13.12,"12 I Pause 6",Pause,481.0,481.0,32.8,2023-03-08 10:29:25.000,2023-03-08 10:21:24.000
113.000000,191.00,158,20,2023-03-08,13.08,"13 I Cool Down",Cool Down,1622.0,1622.0,28.7,2023-03-08 10:56:27.000,2023-03-08 10:29:25.000
