"ID","TIME","TIMESTAMP","HEARTRATE_IN_BPM","POWER_IN_WATT","CADENCE_IN_RPM","DATE","TOTAL_HEMOGLOBIN_CONCENTRATION_IN_GDL","SATURATED_HEMOGLOBIN_IN_PERC","WORKOUT_TIME_IN_MIN"
0,09:00:01,2023-04-19 09:00:01.000,75.0,,,2023-04-19,,,"0:00"
2783,09:51:52,2023-04-19 09:51:52.000,115.0,336.0,170,2023-04-19,13.12,43.0,"0:51"
2807,09:52:16,2023-04-19 09:52:16.000,128.0,334.0,188,2023-04-19,13.14,34.6,"0:52"
2814,09:52:23,2023-04-19 09:52:23.000,130.0,336.0,182,2023-04-19,13.13,32.4,"0:52"
2827,09:52:36,2023-04-19 09:52:36.000,132.0,334.0,180,2023-04-19,13.13,27.7,"0:52"
2831,09:52:40,2023-04-19 09:52:40.000,134.0,334.0,180,2023-04-19,13.13,26.5,"0:52"
2832,09:52:41,2023-04-19 09:52:41.000,134.0,336.0,180,2023-04-19,13.13,26.3,"0:52"
2837,09:52:46,2023-04-19 09:52:46.000,135.0,336.0,180,2023-04-19,13.13,24.3,"0:52"
2843,09:52:52,2023-04-19 09:52:52.000,137.0,336.0,182,2023-04-19,13.11,23.0,"0:52"
2853,09:53:02,2023-04-19 09:53:02.000,139.0,334.0,180,2023-04-19,13.13,23.3,"0:53"
2856,09:53:05,2023-04-19 09:53:05.000,139.0,334.0,180,2023-04-19,13.12,23.0,"0:53"
2866,09:53:15,2023-04-19 09:53:15.000,141.0,334.0,180,2023-04-19,13.12,20.5,"0:53"
2868,09:53:17,2023-04-19 09:53:17.000,141.0,336.0,180,2023-04-19,13.12,20.1,"0:53"
2875,09:53:24,2023-04-19 09:53:24.000,140.0,334.0,180,2023-04-19,13.12,20.8,"0:53"
2909,09:53:58,2023-04-19 09:53:58.000,140.0,336.0,180,2023-04-19,13.13,20.1,"0:53"
2910,09:53:59,2023-04-19 09:53:59.000,140.0,334.0,180,2023-04-19,13.14,20.2,"0:53"
2913,09:54:02,2023-04-19 09:54:02.000,140.0,334.0,180,2023-04-19,13.14,20.0,"0:54"
2914,09:54:03,2023-04-19 09:54:03.000,140.0,336.0,180,2023-04-19,13.15,20.3,"0:54"
2933,09:54:22,2023-04-19 09:54:22.000,139.0,334.0,180,2023-04-19,13.13,19.0,"0:54"
2954,09:54:43,2023-04-19 09:54:43.000,139.0,336.0,170,2023-04-19,13.12,16.9,"0:54"
2980,09:55:09,2023-04-19 09:55:09.000,140.0,334.0,172,2023-04-19,13.17,7.0,"0:55"
2991,09:55:20,2023-04-19 09:55:20.000,138.0,334.0,176,2023-04-19,13.14,7.7,"0:55"
2994,09:55:23,2023-04-19 09:55:23.000,139.0,334.0,176,2023-04-19,13.14,8.0,"0:55"
3005,09:55:34,2023-04-19 09:55:34.000,140.0,334.0,178,2023-04-19,13.16,10.1,"0:55"
3016,09:55:45,2023-04-19 09:55:45.000,141.0,336.0,180,2023-04-19,13.17,16.1,"0:55"
3017,09:55:46,2023-04-19 09:55:46.000,141.0,336.0,180,2023-04-19,13.17,16.5,"0:55"
3028,09:55:57,2023-04-19 09:55:57.000,143.0,334.0,180,2023-04-19,13.16,17.6,"0:55"
3029,09:55:58,2023-04-19 09:55:58.000,143.0,334.0,180,2023-04-19,13.16,17.8,"0:55"
3042,09:56:11,2023-04-19 09:56:11.000,142.0,336.0,180,2023-04-19,13.17,18.2,"0:56"
3050,09:56:19,2023-04-19 09:56:19.000,141.0,334.0,182,2023-04-19,13.17,19.2,"0:56"
3052,09:56:21,2023-04-19 09:56:21.000,142.0,336.0,182,2023-04-19,13.17,19.6,"0:56"
3054,09:56:23,2023-04-19 09:56:23.000,142.0,336.0,180,2023-04-19,13.16,19.4,"0:56"
3058,09:56:27,2023-04-19 09:56:27.000,142.0,334.0,180,2023-04-19,13.16,18.6,"0:56"
3060,09:56:29,2023-04-19 09:56:29.000,142.0,334.0,180,2023-04-19,13.15,18.2,"0:56"
3078,09:56:47,2023-04-19 09:56:47.000,142.0,334.0,178,2023-04-19,13.16,18.8,"0:56"
3094,09:57:03,2023-04-19 09:57:03.000,142.0,336.0,172,2023-04-19,13.14,16.6,"0:57"
3118,09:57:27,2023-04-19 09:57:27.000,142.0,334.0,174,2023-04-19,13.16,17.7,"0:57"
3119,09:57:28,2023-04-19 09:57:28.000,142.0,336.0,174,2023-04-19,13.16,17.8,"0:57"
3120,09:57:29,2023-04-19 09:57:29.000,142.0,336.0,174,2023-04-19,13.17,18.0,"0:57"
3123,09:57:32,2023-04-19 09:57:32.000,142.0,336.0,174,2023-04-19,13.17,17.8,"0:57"
3126,09:57:35,2023-04-19 09:57:35.000,142.0,336.0,176,2023-04-19,13.17,17.3,"0:57"
3128,09:57:37,2023-04-19 09:57:37.000,141.0,336.0,176,2023-04-19,13.18,17.2,"0:57"
3130,09:57:39,2023-04-19 09:57:39.000,142.0,334.0,174,2023-04-19,13.17,16.4,"0:57"
3138,09:57:47,2023-04-19 09:57:47.000,142.0,336.0,174,2023-04-19,13.16,13.3,"0:57"
3175,09:58:24,2023-04-19 09:58:24.000,141.0,336.0,172,2023-04-19,13.15,13.6,"0:58"
3187,09:58:36,2023-04-19 09:58:36.000,141.0,336.0,172,2023-04-19,13.18,12.2,"0:58"
3200,09:58:49,2023-04-19 09:58:49.000,144.0,334.0,172,2023-04-19,13.19,2.9,"0:58"
3201,09:58:50,2023-04-19 09:58:50.000,144.0,334.0,172,2023-04-19,13.19,2.6,"0:58"
3206,09:58:55,2023-04-19 09:58:55.000,144.0,336.0,172,2023-04-19,13.2,1.7,"0:58"
3241,09:59:30,2023-04-19 09:59:30.000,142.0,334.0,162,2023-04-19,13.21,1.1,"0:59"
3256,09:59:45,2023-04-19 09:59:45.000,140.0,334.0,186,2023-04-19,13.19,9.0,"0:59"
3281,10:00:10,2023-04-19 10:00:10.000,138.0,334.0,180,2023-04-19,13.18,22.7,"1:00"
3327,10:00:56,2023-04-19 10:00:56.000,142.0,334.0,172,2023-04-19,13.15,19.0,"1:00"
3328,10:00:57,2023-04-19 10:00:57.000,142.0,334.0,172,2023-04-19,13.15,18.8,"1:00"
3329,10:00:58,2023-04-19 10:00:58.000,142.0,334.0,172,2023-04-19,13.15,18.6,"1:00"
3882,10:10:11,2023-04-19 10:10:11.000,126.0,336.0,170,2023-04-19,13.15,24.7,"1:10"
3893,10:10:22,2023-04-19 10:10:22.000,131.0,336.0,172,2023-04-19,13.14,18.3,"1:10"
3914,10:10:43,2023-04-19 10:10:43.000,136.0,334.0,172,2023-04-19,13.14,15.2,"1:10"
3917,10:10:46,2023-04-19 10:10:46.000,136.0,334.0,172,2023-04-19,13.13,15.4,"1:10"
3932,10:11:01,2023-04-19 10:11:01.000,138.0,336.0,168,2023-04-19,13.13,15.1,"1:11"
3978,10:11:47,2023-04-19 10:11:47.000,142.0,336.0,172,2023-04-19,13.15,14.6,"1:11"
4000,10:12:09,2023-04-19 10:12:09.000,140.0,336.0,168,2023-04-19,13.16,16.3,"1:12"
4001,10:12:10,2023-04-19 10:12:10.000,140.0,336.0,168,2023-04-19,13.16,16.4,"1:12"
4030,10:12:39,2023-04-19 10:12:39.000,142.0,336.0,170,2023-04-19,13.14,15.0,"1:12"
4031,10:12:40,2023-04-19 10:12:40.000,142.0,336.0,170,2023-04-19,13.15,15.1,"1:12"
4096,10:13:45,2023-04-19 10:13:45.000,145.0,336.0,168,2023-04-19,13.17,15.0,"1:13"
4104,10:13:53,2023-04-19 10:13:53.000,145.0,334.0,170,2023-04-19,13.17,15.3,"1:13"
4108,10:13:57,2023-04-19 10:13:57.000,145.0,334.0,170,2023-04-19,13.16,15.0,"1:13"
4128,10:14:17,2023-04-19 10:14:17.000,143.0,336.0,150,2023-04-19,13.17,7.8,"1:14"
4175,10:15:04,2023-04-19 10:15:04.000,144.0,334.0,180,2023-04-19,13.19,18.5,"1:15"
4179,10:15:08,2023-04-19 10:15:08.000,145.0,334.0,180,2023-04-19,13.18,17.8,"1:15"
4227,10:15:56,2023-04-19 10:15:56.000,144.0,334.0,178,2023-04-19,13.16,18.7,"1:15"
4231,10:16:00,2023-04-19 10:16:00.000,143.0,336.0,178,2023-04-19,13.17,17.6,"1:15"
4234,10:16:03,2023-04-19 10:16:03.000,144.0,336.0,180,2023-04-19,13.17,16.6,"1:16"
4236,10:16:05,2023-04-19 10:16:05.000,144.0,336.0,180,2023-04-19,13.17,16.8,"1:16"
4237,10:16:06,2023-04-19 10:16:06.000,144.0,334.0,180,2023-04-19,13.17,17.0,"1:16"
4243,10:16:12,2023-04-19 10:16:12.000,144.0,334.0,178,2023-04-19,13.18,17.1,"1:16"
4247,10:16:16,2023-04-19 10:16:16.000,145.0,334.0,178,2023-04-19,13.18,17.1,"1:16"
4259,10:16:28,2023-04-19 10:16:28.000,145.0,334.0,172,2023-04-19,13.17,15.9,"1:16"
4263,10:16:32,2023-04-19 10:16:32.000,145.0,336.0,172,2023-04-19,13.17,15.1,"1:16"
4264,10:16:33,2023-04-19 10:16:33.000,145.0,334.0,172,2023-04-19,13.17,15.0,"1:16"
4265,10:16:34,2023-04-19 10:16:34.000,145.0,334.0,174,2023-04-19,13.17,14.9,"1:16"
4269,10:16:38,2023-04-19 10:16:38.000,145.0,336.0,172,2023-04-19,13.18,15.6,"1:16"
4275,10:16:44,2023-04-19 10:16:44.000,145.0,334.0,174,2023-04-19,13.19,16.5,"1:16"
4278,10:16:47,2023-04-19 10:16:47.000,146.0,336.0,174,2023-04-19,13.17,15.5,"1:16"
4285,10:16:54,2023-04-19 10:16:54.000,145.0,334.0,174,2023-04-19,13.16,12.0,"1:16"
4286,10:16:55,2023-04-19 10:16:55.000,146.0,334.0,174,2023-04-19,13.16,11.8,"1:16"
4297,10:17:06,2023-04-19 10:17:06.000,146.0,334.0,174,2023-04-19,13.14,11.3,"1:17"
4313,10:17:22,2023-04-19 10:17:22.000,145.0,336.0,172,2023-04-19,13.18,13.2,"1:17"
4314,10:17:23,2023-04-19 10:17:23.000,145.0,334.0,172,2023-04-19,13.18,13.1,"1:17"
4322,10:17:31,2023-04-19 10:17:31.000,145.0,334.0,172,2023-04-19,13.19,13.1,"1:17"
4334,10:17:43,2023-04-19 10:17:43.000,145.0,336.0,166,2023-04-19,13.17,12.6,"1:17"
4343,10:17:52,2023-04-19 10:17:52.000,145.0,334.0,172,2023-04-19,13.18,5.9,"1:17"
4374,10:18:23,2023-04-19 10:18:23.000,146.0,336.0,174,2023-04-19,0.0,0.0,"1:18"
4405,10:18:54,2023-04-19 10:18:54.000,146.0,334.0,166,2023-04-19,13.18,0.0,"1:18"
4410,10:18:59,2023-04-19 10:18:59.000,146.0,334.0,174,2023-04-19,13.16,0.2,"1:18"
4423,10:19:12,2023-04-19 10:19:12.000,145.0,336.0,174,2023-04-19,13.17,3.2,"1:19"
4424,10:19:13,2023-04-19 10:19:13.000,145.0,336.0,174,2023-04-19,13.17,3.8,"1:19"
4447,10:19:36,2023-04-19 10:19:36.000,145.0,334.0,170,2023-04-19,13.17,13.8,"1:19"
4942,10:27:51,2023-04-19 10:27:51.000,116.0,336.0,168,2023-04-19,13.07,34.9,"1:27"
4946,10:27:55,2023-04-19 10:27:55.000,118.0,334.0,172,2023-04-19,13.06,31.4,"1:27"
4954,10:28:03,2023-04-19 10:28:03.000,121.0,334.0,176,2023-04-19,13.07,19.6,"1:28"
4957,10:28:06,2023-04-19 10:28:06.000,122.0,334.0,178,2023-04-19,13.08,13.2,"1:28"
4959,10:28:08,2023-04-19 10:28:08.000,123.0,336.0,178,2023-04-19,13.09,8.3,"1:28"
4983,10:28:32,2023-04-19 10:28:32.000,134.0,336.0,172,2023-04-19,1.82,0.3,"1:28"
4993,10:28:42,2023-04-19 10:28:42.000,136.0,334.0,172,2023-04-19,13.05,0.0,"1:28"
4996,10:28:45,2023-04-19 10:28:45.000,136.0,336.0,176,2023-04-19,13.07,0.1,"1:28"
4997,10:28:46,2023-04-19 10:28:46.000,136.0,336.0,178,2023-04-19,13.07,0.2,"1:28"
