"Race_Name","Race_Date","DATE_SQL","CW","YEAR","RACE_DATE_CW"
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-01,0,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-01,0,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-02,1,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-02,1,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-03,1,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-03,1,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-04,1,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-04,1,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-05,1,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-05,1,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-06,1,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-06,1,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-07,1,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-07,1,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-08,1,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-08,1,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-09,2,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-09,2,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-10,2,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-10,2,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-11,2,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-11,2,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-12,2,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-12,2,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-13,2,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-13,2,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-14,2,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-14,2,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-15,2,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-15,2,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-16,3,"2023",22
VinFast IRONMAN World Championship Nice,"10.09.2023",2023-01-16,3,"2023",36
IRONMAN European Championship Hamburg,"04.06.2023",2023-01-17,3,"2023",22
