"AVERAGE_HEARTRATE_IN_BPM","AVERAGE_POWER_IN_WATT","AVG_CADENCE_IN_RPM","INTERVAL_ID","DATE","AVERAGE_TOTAL_HEMOGLOBIN_CONCENTRATION","INTERVAL_DESCRIPTION","INTERVAL_TYPE","TIME_TIMER","TIME_ELAPSED","AVERAGE_SATURATED_HEMOGLOBIN_IN_PERC","TIMESTAMP_END","TIMESTAMP_START"
112.000000,198.00,172,10,2023-05-17,11.73,"00 I Warm Up",Warm Up,2703.0,2794.0,10.5,2023-05-17 09:37:46.000,2023-05-17 08:51:12.000
137.000000,331.00,178,1,2023-05-17,8.72,"01 I Interval 1",Interval,599.0,599.0,10.3,2023-05-17 09:47:45.000,2023-05-17 09:37:46.000
113.000000,191.00,160,11,2023-05-17,13.36,"02 I Pause 1",Pause,481.0,481.0,27.1,2023-05-17 09:55:46.000,2023-05-17 09:47:45.000
139.000000,331.00,176,2,2023-05-17,3.99,"03 I Interval 2",Interval,599.0,599.0,2.3,2023-05-17 10:05:45.000,2023-05-17 09:55:46.000
111.000000,166.00,172,12,2023-05-17,11.43,"04 I Pause 2",Pause,481.0,481.0,15.1,2023-05-17 10:13:46.000,2023-05-17 10:05:45.000
139.000000,332.00,178,3,2023-05-17,11.76,"05 I Interval 3",Interval,599.0,599.0,8.6,2023-05-17 10:23:45.000,2023-05-17 10:13:46.000
111.000000,181.00,158,13,2023-05-17,9.86,"06 I Pause 3",Pause,481.0,481.0,4.8,2023-05-17 10:31:46.000,2023-05-17 10:23:45.000
136.000000,331.00,174,4,2023-05-17,0.58,"07 I Interval 4",Interval,600.0,600.0,0.1,2023-05-17 10:41:46.000,2023-05-17 10:31:46.000
113.000000,183.00,162,14,2023-05-17,11.81,"08 I Pause 4",Pause,479.0,479.0,7.7,2023-05-17 10:49:45.000,2023-05-17 10:41:46.000
140.000000,333.00,176,5,2023-05-17,6.14,"09 I Interval 5",Interval,601.0,601.0,2.6,2023-05-17 10:59:46.000,2023-05-17 10:49:45.000
115.000000,189.00,164,15,2023-05-17,13.14,"10 I Pause 5",Pause,479.0,479.0,14.0,2023-05-17 11:07:45.000,2023-05-17 10:59:46.000
140.000000,331.00,174,6,2023-05-17,7.77,"11 I Interval 6",Interval,600.0,600.0,1.3,2023-05-17 11:17:45.000,2023-05-17 11:07:45.000
111.000000,166.00,158,16,2023-05-17,13.13,"12 I Pause 6",Pause,481.0,481.0,12.8,2023-05-17 11:25:46.000,2023-05-17 11:17:45.000
118.000000,222.00,174,20,2023-05-17,12.99,"13 I Cool Down",Cool Down,3417.0,3417.0,22.0,2023-05-17 12:22:43.000,2023-05-17 11:25:46.000
